timestamp_utc,forecast_mw
2026-06-27T00:00:00Z,45290.64
2026-06-27T01:00:00Z,44210.28
2026-06-27T02:00:00Z,42440.16
2026-06-27T03:00:00Z,41975.62
2026-06-27T04:00:00Z,44656.59
2026-06-27T05:00:00Z,46940.18
2026-06-27T06:00:00Z,49539.71
2026-06-27T07:00:00Z,50732.08
2026-06-27T08:00:00Z,50963.08
2026-06-27T09:00:00Z,49749.12
2026-06-27T10:00:00Z,48524.26
2026-06-27T11:00:00Z,47764.4
2026-06-27T12:00:00Z,47063.4
2026-06-27T13:00:00Z,47019.25
2026-06-27T14:00:00Z,46609.57
2026-06-27T15:00:00Z,47723.62
2026-06-27T16:00:00Z,48357.49
2026-06-27T17:00:00Z,48991.95
2026-06-27T18:00:00Z,47482.69
2026-06-27T19:00:00Z,47230.83
2026-06-27T20:00:00Z,46559.61
2026-06-27T21:00:00Z,45194.38
2026-06-27T22:00:00Z,44489.06
2026-06-27T23:00:00Z,43306.44
